sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-8.7364;1.6658;11.3862;5.7956;-1.1787;-7.8225;-11.2448;2.7966;15.3301;-0.6671;0.6621;0.2288;3.0;30.18;-12.48;-45.72;211.63;6.9;-143.47;8.0;997.4;25.386;44.234722;-76.49347;254.84;NaN;;2.63;19.35484;2.8;0 / 22;21;2020-11-11 01:27:21:710
2.2793;7.8284;-4.5376;0.3717;-9.7141;-1.2914;1.9076;17.5425;-3.2462;3.1521;0.5758;2.8871;0.0;33.54;-7.86;-43.38;354.93;72.63;-137.05;8.0;997.46;58.606;44.234722;-76.49347;254.84;NaN;;2.63;19.35484;2.8;0 / 22;521;2020-11-11 01:27:22:210
6.2393;6.4566;-2.6917;-5.1325;-8.2935;1.0223;11.3718;14.7501;-3.714;0.1049;1.0991;-0.4072;0.0;27.06;-36.06;-25.44;157.18;57.75;78.74;0.0;997.43;60.908;44.234905;-76.49351;300.0;NaN;;2.2;48.387096;2.8;0 / 22;1021;2020-11-11 01:27:22:710
6.019;6.8157;-4.6813;-6.0744;-6.9292;3.3553;12.0934;13.7449;-8.0366;0.2775;-0.3529;0.9862;0.0;3.06;-55.92;-9.36;171.79;44.96;61.08;0.0;997.41;46.249;44.234905;-76.49351;300.0;NaN;;2.2;48.387096;2.8;0 / 22;1521;2020-11-11 01:27:23:210
-1.2953;3.8182;-2.8305;-3.2819;-7.1424;5.8639;1.9866;10.9606;-8.6944;1.0557;-2.2387;-0.9998;0.0;-19.26;-50.7;3.9;150.3;46.75;29.23;0.0;997.44;50.248;44.234913;-76.493576;287.1;NaN;;2.92;48.387096;316.5;7 / 22;2021;2020-11-11 01:27:23:710
4.7716;1.9531;-0.477;-7.1587;-5.8692;3.2365;10.2544;12.1606;-7.6257;-1.7662;0.6378;0.4852;0.0;-20.58;-45.66;18.18;200.29;36.76;65.67;0.0;997.46;69.865;44.234913;-76.493576;287.1;NaN;;2.92;48.387096;316.5;7 / 22;2521;2020-11-11 01:27:24:210
9.3182;6.5092;3.5261;-8.9073;-4.0527;0.6367;18.2255;10.5619;2.8893;-1.0594;1.2914;0.9052;0.0;-22.8;-44.82;19.08;213.16;34.56;79.66;0.0;997.39;69.865;44.234917;-76.49358;277.42;NaN;;3.2;38.709675;290.9;7 / 22;3022;2020-11-11 01:27:24:711
9.3182;6.5092;3.5261;-8.9073;-4.0527;0.6367;18.2255;10.5619;2.8893;-1.0594;1.2914;0.9052;0.0;-22.8;-44.82;19.08;213.16;34.56;79.66;0.0;997.39;69.865;44.234917;-76.49358;277.42;NaN;;3.2;38.709675;290.9;7 / 22;3524;2020-11-11 01:27:25:213
3.5099;11.6065;1.1797;-3.6478;-8.9798;1.4926;6.7004;21.7139;-1.1029;0.3955;0.5875;-0.5318;0.0;-34.5;-42.0;6.72;50.83;56.15;68.21;0.0;997.54;62.817;44.23494;-76.493614;274.19;NaN;;6.66;38.709675;307.0;7 / 22;4021;2020-11-11 01:27:25:710
-0.1221;11.5442;-0.9152;-4.4826;-8.6857;0.797;4.3605;20.2299;-1.7121;0.9023;-0.5249;1.1436;0.0;-15.66;-52.2;5.04;200.77;54.92;95.63;0.0;997.4;45.63;44.23494;-76.493614;274.19;NaN;;6.66;38.709675;307.0;7 / 22;4521;2020-11-11 01:27:26:210
2.3822;7.8931;2.6929;-5.0734;-8.2221;1.6817;13.4076;18.8254;-8.2496;0.4522;-0.2637;0.2394;0.0;-9.06;-56.04;2.7;180.04;56.97;71.66;0.0;997.53;41.924;44.23493;-76.49359;274.19;NaN;;3.56;32.258064;292.4;7 / 22;5021;2020-11-11 01:27:26:710
8.2887;11.0774;6.5116;-6.0297;-7.6351;-1.2324;15.0917;17.003;1.5072;0.0533;-0.1244;0.9806;0.0;-11.82;-55.44;1.98;189.64;51.13;101.55;0.0;997.52;45.587;44.23493;-76.49359;274.19;NaN;;3.56;32.258064;292.4;7 / 22;5521;2020-11-11 01:27:27:210
9.7851;11.652;-3.0915;-5.0628;-8.3352;1.0307;9.4059;21.5673;-1.266;0.3649;-0.9172;0.4194;0.0;-12.78;-54.78;0.0;172.36;54.2;76.94;0.0;997.49;40.693;44.234932;-76.4936;264.52;NaN;;2.34;35.48387;292.4;7 / 22;6022;2020-11-11 01:27:27:711
3.1795;10.6871;1.6969;-6.6376;-7.126;-1.1541;16.9399;17.8012;6.4973;1.0266;-1.1444;0.881;0.0;-15.0;-54.72;0.06;187.88;55.06;100.31;0.0;997.44;49.062;44.234932;-76.4936;264.52;NaN;;2.34;35.48387;292.4;7 / 22;6522;2020-11-11 01:27:28:211
6.098;13.1244;1.9555;-5.8901;-7.5082;2.2594;15.2658;18.394;-6.7754;0.4783;0.9731;-0.4264;0.0;-16.74;-54.42;0.0;165.82;51.9;72.19;0.0;997.53;50.44;44.234943;-76.49364;274.19;NaN;;5.33;35.48387;303.0;7 / 22;7021;2020-11-11 01:27:28:710
9.5146;10.1317;3.0281;-6.44;-7.2747;-1.3322;15.8277;14.2484;1.9421;-0.3822;-0.2333;0.6408;0.0;-16.86;-52.2;0.12;195.39;53.6;106.7;0.0;997.46;52.909;44.234943;-76.49364;274.19;NaN;;5.33;35.48387;303.0;7 / 22;7521;2020-11-11 01:27:29:210
8.9495;9.071;-8.9262;-5.7803;-7.6897;1.9046;14.7681;17.3592;-2.4918;0.0091;-1.0434;0.175;0.0;-16.8;-49.44;0.18;163.31;51.64;71.76;0.0;997.76;53.638;44.23495;-76.49367;287.1;NaN;;4.97;38.709675;301.5;7 / 22;8021;2020-11-11 01:27:29:710
8.1068;7.3544;0.064;-6.2364;-7.38;-1.6771;14.4868;13.3865;3.307;0.1441;0.2929;-0.2232;0.0;-17.46;-49.2;-0.84;189.92;48.81;105.05;0.0;997.46;57.257;44.23495;-76.49367;287.1;NaN;;4.97;38.709675;301.5;7 / 22;8520;2020-11-11 01:27:30:209
-0.656;2.8557;-0.9535;-5.8468;-7.8265;0.8553;11.7652;11.0389;1.7442;-0.3806;-1.905;-0.3222;0.0;-18.24;-49.86;-2.04;164.15;52.95;81.68;0.0;997.4;49.221;44.23496;-76.4937;280.65;NaN;;4.79;38.709675;302.7;7 / 22;9021;2020-11-11 01:27:30:710
9.0237;8.2211;-0.6111;-6.1512;-7.5197;-1.3368;15.175;15.7407;0.7257;0.0602;0.1981;0.4155;0.0;-19.38;-51.06;-1.92;186.53;50.07;102.26;0.0;997.39;54.517;44.23496;-76.4937;280.65;NaN;;4.79;38.709675;302.7;7 / 22;9521;2020-11-11 01:27:31:210
9.1889;8.4868;-1.485;-6.3914;-7.2763;1.5415;15.5803;15.7631;-3.0265;0.0333;-0.4485;0.2407;0.0;-19.56;-51.12;-2.16;161.75;47.9;76.44;0.0;997.61;59.303;44.234962;-76.49372;296.77;NaN;;4.75;41.935486;271.8;7 / 22;10021;2020-11-11 01:27:31:710
8.2552;6.8253;0.1574;-5.749;-7.8117;-1.4476;14.0042;14.637;1.605;-0.1292;0.436;-0.3286;0.0;-19.32;-50.76;-1.26;192.95;52.8;104.13;0.0;997.23;53.538;44.234962;-76.49372;296.77;NaN;;4.75;41.935486;271.8;7 / 22;10521;2020-11-11 01:27:32:210
10.5369;11.9824;-4.6406;-6.3631;-7.257;1.7368;8.1324;11.8964;-5.0486;-0.6104;0.0602;0.2908;0.0;-18.78;-50.58;-0.36;166.44;47.73;74.73;0.0;997.39;55.731;44.234962;-76.49374;293.55;NaN;;3.71;41.935486;310.6;7 / 22;11021;2020-11-11 01:27:32:710
8.6263;7.2826;-0.5441;-5.6236;-7.8265;-1.8143;10.7927;11.5991;3.0132;-0.2205;0.885;-0.58;0.0;-19.14;-50.16;-0.9;197.53;52.95;107.88;0.0;997.69;55.159;44.234962;-76.49374;293.55;NaN;;3.71;41.935486;310.6;7 / 22;11522;2020-11-11 01:27:33:211
5.2385;7.0695;-4.2671;-5.7637;-7.5846;2.329;11.0022;14.6541;-6.596;-0.0091;-0.5814;0.2735;0.0;-19.56;-47.7;-0.9;152.79;50.66;68.0;0.0;997.85;58.635;44.234966;-76.49375;303.23;NaN;;2.12;45.16129;310.6;7 / 22;12021;2020-11-11 01:27:33:710
8.2959;4.4909;0.1502;-6.0944;-7.4719;-1.7888;14.3903;11.9628;1.939;-0.1846;0.5103;-0.547;0.0;-19.26;-46.86;-0.48;197.92;49.63;106.36;0.0;997.45;50.915;44.234966;-76.49375;303.23;NaN;;2.12;45.16129;310.6;7 / 22;12547;2020-11-11 01:27:34:236
10.7691;10.2873;-3.1681;-5.3986;-8.0185;1.6517;4.089;11.0753;-4.4871;-0.7436;-0.082;0.0189;0.0;-19.98;-50.82;-1.32;154.01;54.85;72.99;0.0;997.48;57.685;44.234978;-76.493774;300.0;NaN;;3.74;41.935486;307.7;7 / 21;13047;2020-11-11 01:27:34:736
7.853;5.9993;1.23;-5.2235;-8.0954;-1.83;9.9257;12.5097;3.0313;-0.1033;0.9486;-0.4738;0.0;-21.24;-54.0;-1.86;200.43;55.64;109.31;0.0;997.4;53.769;44.234978;-76.493774;300.0;NaN;;3.74;41.935486;307.7;7 / 21;13547;2020-11-11 01:27:35:236
